x,y,z,id
-0.0,0.28,1.52,4
0.04,0.54,1.59,4
0.11,0.74,1.52,4
0.12,0.65,1.38,4
0.09,0.19,1.03,4
0.08,-0.06,0.9,4
0.08,-0.33,0.79,4
0.09,-0.35,0.81,4
0.1,-0.2,0.99,4
0.1,-0.08,1.08,4
0.12,0.09,1.13,4
0.12,0.11,1.08,4
0.12,0.03,0.96,4
0.12,-0.03,0.94,4
0.11,-0.12,0.97,4
0.11,-0.12,1.0,4
0.11,-0.06,1.03,4
0.12,0.01,1.01,4
0.12,0.01,0.99,4
0.11,-0.03,0.97,4
0.11,-0.06,0.98,4
0.1,-0.08,1.03,4
0.1,-0.07,1.05,4
0.11,-0.03,1.04,4
0.11,-0.01,1.01,4
0.12,-0.02,0.96,4
0.12,-0.04,0.95,4
0.11,-0.08,0.97,4
0.11,-0.08,0.99,4
0.11,-0.04,1.03,4
0.11,-0.02,1.05,4
0.11,-0.01,1.04,4
0.11,-0.02,1.01,4
0.11,-0.06,0.97,4
0.11,-0.07,0.97,4
0.11,-0.06,0.98,4
0.11,-0.05,0.99,4
0.11,-0.03,1.01,4
0.11,-0.02,1.01,4
0.11,-0.05,1.01,4
0.1,-0.06,1.02,4
0.1,-0.07,1.05,4
0.1,-0.05,1.04,4
0.11,-0.02,0.99,4
0.11,-0.02,0.97,4
0.11,-0.06,0.97,4
0.11,-0.07,0.99,4
0.11,-0.06,1.02,4
0.11,-0.02,1.05,4
0.11,-0.02,1.04,4
0.11,-0.05,1.0,4
0.11,-0.06,0.98,4
0.1,-0.04,1.02,5
0.1,-0.04,1.0,5
0.1,-0.06,1.0,5
0.1,-0.07,1.0,5
0.1,-0.06,1.03,5
0.1,-0.05,1.04,5
0.11,-0.06,1.01,5
0.11,-0.06,1.0,5
0.09,-0.03,1.06,5
0.08,0.04,1.11,5
0.04,0.28,1.23,5
0.02,0.42,1.3,5
0.01,0.72,1.47,5
0.04,0.73,1.58,5
0.05,0.21,1.54,5
0.01,-0.14,1.26,5
-0.03,-0.78,0.39,5
-0.12,-1.24,-0.18,5
-0.62,-2.62,-1.05,5
-0.67,-3.35,-1.06,5
-0.69,-3.65,-0.33,5
-1.12,-2.67,0.23,5
-3.47,1.14,1.48,5
-4.0,3.04,2.55,5
-2.7,4.0,4.0,5
-0.48,3.96,3.82,5
-0.9,3.45,2.71,5
-2.93,0.62,-0.28,5
-3.46,-0.97,-1.03,5
-2.46,-3.56,-1.35,5
-1.47,-4.0,-1.25,5
-0.42,-4.0,-0.56,5
-0.6,-3.48,0.04,5
-1.75,-0.72,1.29,5
-2.11,0.64,1.92,5
-1.31,2.49,3.22,5
-0.51,3.05,3.57,5
0.22,2.97,2.62,5
0.03,2.18,1.62,5
-0.42,0.29,0.36,5
-0.42,-0.42,0.15,5
-0.14,-1.31,0.05,5
-0.02,-1.52,0.12,5
0.04,-1.45,0.56,5
0.01,-1.14,0.86,5
-0.0,-0.26,1.23,5
0.02,0.13,1.29,5
0.08,0.61,1.33,5
0.11,0.69,1.33,5
0.12,0.5,1.25,5
0.11,0.28,1.16,5
0.1,-0.16,1.0,5
0.1,-0.29,0.95,5
0.11,-0.35,0.86,5
0.12,-0.29,0.84,5
0.12,-0.07,0.9,5
0.13,0.09,1.03,5
0.14,0.11,1.06,5
0.13,0.02,1.06,5
0.12,-0.06,1.03,5
0.11,-0.13,0.97,5
0.11,-0.11,0.96,5
0.14,-0.05,1.0,5
0.15,-0.05,1.02,5
0.15,-0.11,0.99,5
0.15,-0.12,0.96,5
0.13,-0.06,0.93,5
0.13,-0.02,0.96,5
0.12,-0.02,1.05,5
0.12,-0.05,1.07,5
0.11,-0.09,1.03,5
0.11,-0.08,0.99,5
0.11,-0.04,0.96,5
0.11,-0.05,0.98,5
0.13,-0.08,1.02,5
0.13,-0.08,1.02,5
0.13,-0.07,0.99,5
0.13,-0.05,0.98,5
0.13,-0.0,1.0,5
0.13,0.0,1.03,5
0.13,-0.04,1.07,5
0.12,-0.09,1.05,5
0.12,-0.15,0.96,5
0.11,-0.12,0.92,5
0.12,0.02,0.94,5
0.13,0.08,0.99,5
0.13,0.04,1.09,5
0.11,-0.14,1.06,5
0.1,-0.2,1.01,5
0.09,-0.19,0.93,5
0.09,-0.12,0.9,5
0.12,-0.01,0.91,5
0.14,0.0,0.97,5
0.14,-0.04,1.09,5
